Species,Population,Threat_Level,Latitude,Longitude,Season,Food_Availability,Weather,Migration_Distance,Ranger_Report
Tiger,35,8,12.9,77.5,1,60,70,120,Poaching signs observed near river area
Tiger,28,9,12.6,77.7,2,55,75,130,Severe poaching threat detected
Elephant,120,3,13.2,78.1,2,80,40,300,Calm herd moving towards forest
Elephant,150,2,13.5,78.2,1,85,35,320,Healthy migration observed
Deer,200,2,12.5,77.9,0,90,30,80,Healthy grazing population
Deer,210,1,12.7,77.8,1,92,28,90,Population stable
Leopard,25,7,13.0,77.3,1,55,65,150,Spotted near village boundary
Leopard,20,8,13.1,77.4,2,50,70,140,Human conflict reported
Hedgehog,15,4,12.4,77.2,3,40,50,30,Seen near farmland
Weasel,18,5,12.6,77.6,2,45,60,45,Observed near water source
Lion,40,6,11.9,76.8,1,65,55,180,Pride seen near grassland
Lion,45,6,12.1,76.9,2,70,50,190,Normal territorial movement
Zebra,90,3,14.2,79.1,0,85,40,220,Herd moving steadily
Zebra,95,3,14.3,79.0,1,88,42,230,Migration consistent
Giraffe,30,4,15.1,80.2,1,75,45,200,Feeding on tall trees
Giraffe,28,4,15.0,80.3,2,72,48,195,Slow movement observed
Rhino,12,9,10.5,75.6,1,50,80,90,High poaching risk
Rhino,10,9,10.6,75.7,2,48,85,85,Protection required
Bear,22,5,16.4,81.1,3,60,65,140,Foraging near forest edge
Bear,25,5,16.5,81.0,0,62,60,145,Seasonal movement
Wolf,18,6,17.2,82.3,1,55,50,160,Pack movement detected
Wolf,20,6,17.1,82.4,2,58,48,165,Tracking prey
Fox,26,4,18.0,83.1,3,65,45,100,Observed near hills
Fox,24,4,18.1,83.0,0,68,42,105,Normal activity
Cheetah,14,7,13.8,78.9,1,52,60,170,Fast movement recorded
Cheetah,12,7,13.9,79.0,2,50,62,175,Low population concern
Hyena,35,5,14.8,79.6,1,70,55,130,Laughing calls heard
Hyena,38,5,14.9,79.7,2,72,53,135,Active scavenging
Monkey,60,2,11.5,76.3,0,85,35,60,Playful troop observed
Monkey,65,2,11.6,76.4,1,88,33,65,Fruit feeding
Gorilla,18,6,9.8,74.9,1,75,50,110,Calm group behavior
Gorilla,20,6,9.9,75.0,2,78,48,115,Normal movement
Kangaroo,50,3,19.1,84.2,0,80,40,210,Long hopping observed
Kangaroo,55,3,19.2,84.3,1,82,38,215,Migration ongoing
Panda,14,8,30.5,103.9,1,60,70,90,Bamboo feeding
Panda,12,8,30.6,104.0,2,58,75,85,Habitat sensitive
Penguin,100,2,-75.2,123.1,3,70,20,50,Colony stable
Penguin,95,2,-75.1,123.0,0,72,18,55,Cold adaptation
Otter,28,3,10.2,76.5,1,78,45,70,Swimming observed
Otter,30,3,10.3,76.6,2,80,43,75,Playful activity
Rabbit,80,1,12.2,77.1,0,90,30,40,Healthy reproduction
Rabbit,85,1,12.3,77.0,1,92,28,45,Population growing
Snake,22,5,13.7,78.4,3,60,65,90,Basking observed
Snake,20,5,13.8,78.5,0,58,68,95,Slithering near rocks
Eagle,16,4,14.6,79.3,1,70,50,250,Soaring flight
Eagle,18,4,14.7,79.4,2,72,48,255,Hunting activity
Owl,14,3,15.3,80.0,3,65,55,120,Night calls heard
Owl,15,3,15.4,80.1,0,68,52,125,Roosting
Dolphin,60,2,8.4,73.9,1,85,35,300,Pod swimming
Dog,5,2,0.0,0.0,1,80,60,10,Domestic dog example
White Shepherd Dog,2,1,0.0,0.0,1,80,60,5,Specific breed example
Dolphin,65,2,8.5,74.0,2,88,33,310,Playful jumps
Whale,25,3,6.2,72.1,1,75,40,800,Deep water movement
Whale,22,3,6.3,72.2,2,72,42,820,Long migration
Frog,120,1,11.1,76.0,0,95,25,20,Active breeding
Frog,130,1,11.2,76.1,1,97,23,25,Monsoon activity
